Rank,Player Name,Deck Name,Match Record,Game Record,Points,OMW%,TGW%,OGW%,Player Profile Name,Player Profile URL,Decklist URL,Match Total,Location
18,18,LouiOriqui,W-U-R-G Domain,"[4, 2, 0]","[9, 5, 0]",12,58.14815,64.28571,54.36711,LouiOriqui,https://melee.gg/Profile/Index/LouiOriqui,https://melee.gg/Decklist/View/0e6befe1-9eff-4dc4-b5d8-b34a00d8ad18,6.0,rcq_orlando_08_31_2025
19,19,Alex Yatsenko,Azorius Control,"[4, 2, 0]","[8, 4, 0]",12,57.59259,66.66667,53.90346,tadam,https://melee.gg/Profile/Index/tadam,https://melee.gg/Decklist/View/5b582887-5a88-46d0-bf5c-b34a00d6eb9c,6.0,rcq_orlando_08_31_2025
20,20,Ramoñ Nogueira,Mono-Green,"[4, 2, 0]","[10, 5, 0]",12,53.7037,66.66667,54.29131,RHNog,https://melee.gg/Profile/Index/RHNog,https://melee.gg/Decklist/View/fd06a8dc-779d-4eff-b1f6-b34a0048e977,6.0,rcq_orlando_08_31_2025
21,21,Andrea Smith,W-U-B-G,"[4, 2, 0]","[8, 5, 0]",12,53.7037,61.53846,50.05342,Dah11ia,https://melee.gg/Profile/Index/Dah11ia,https://melee.gg/Decklist/View/174e8c2a-c2f4-42ba-a835-b34a00dd1d8d,6.0,rcq_orlando_08_31_2025
22,22,Clifford Macdonald,Dimir,"[4, 2, 0]","[8, 8, 0]",12,45.37037,50.0,47.90675,GreaterClifford,https://melee.gg/Profile/Index/GreaterClifford,https://melee.gg/Decklist/View/4858cb9d-9d61-474c-a64c-b34a00d4c714,6.0,rcq_orlando_08_31_2025
23,23,Evan Prims,Boros Energy,"[4, 2, 0]","[8, 6, 0]",12,38.88889,57.14286,42.82699,emprims93,https://melee.gg/Profile/Index/emprims93,https://melee.gg/Decklist/View/28d45d8f-05af-44fb-8569-b34a00dcc6ee,6.0,rcq_orlando_08_31_2025
24,24,Cody Lewis,Sultai Control,"[3, 2, 1]","[7, 6, 0]",10,62.96296,53.84615,56.85214,Evilboone,https://melee.gg/Profile/Index/Evilboone,https://melee.gg/Decklist/View/da1528d4-b6c5-4425-82c0-b34a00d94761,6.0,rcq_orlando_08_31_2025
25,25,Jack Lynch,Grixis,"[3, 3, 0]","[7, 6, 0]",9,62.77778,53.84615,58.55845,nj741,https://melee.gg/Profile/Index/nj741,https://melee.gg/Decklist/View/41b817de-815b-4b23-b2d7-b34a00d41a90,6.0,rcq_orlando_08_31_2025
26,26,Bolt1983,Mardu,"[3, 3, 0]","[6, 8, 0]",9,62.03704,42.85714,56.88034,Bolt1983,https://melee.gg/Profile/Index/Bolt1983,https://melee.gg/Decklist/View/247c7bbe-5325-479c-bf6b-b34a00c94c17,6.0,rcq_orlando_08_31_2025
27,27,Robert Sanford,Izzet Aggro,"[3, 3, 0]","[6, 7, 0]",9,58.33333,46.15385,51.88492,Rsanford,https://melee.gg/Profile/Index/Rsanford,https://melee.gg/Decklist/View/12a73cb8-5bb3-4ec1-a4d5-b34a00c6ffe1,6.0,rcq_orlando_08_31_2025
28,28,TayR9,Boros Aggro,"[3, 2, 0]","[8, 6, 0]",9,56.66667,57.14286,55.11045,TayR9,https://melee.gg/Profile/Index/TayR9,https://melee.gg/Decklist/View/3f1bf8fe-2446-43c9-a575-b349017d29c9,5.0,rcq_orlando_08_31_2025
29,29,Mikey01,Boros Creativity,"[3, 3, 0]","[8, 8, 0]",9,56.11111,50.0,50.62322,Mikey01,https://melee.gg/Profile/Index/Mikey01,https://melee.gg/Decklist/View/58764fe9-87aa-40bc-a7f3-b34a00d827e7,6.0,rcq_orlando_08_31_2025
